slope_angle_deg,bench_height_m,joint_friction_angle_deg,joint_cohesion_kpa,factor_of_safety,earthquake_magnitude,seismic_zone,earthquake_distance_km,clay_content_pct,moisture_content_pct,bearing_capacity_kpa,vibration_intensity_mm_s,blast_charge_weight_kg,environmental_humidity_pct,comprehensive_risk_score,rockfall_risk_level,high_risk_binary
15.955372125328777,16.926307858414056,16.227358101554344,47.959234553228775,0.5709970551799077,6.808912421753783,3,60.91319009834988,38.38980961988882,13.231403174698634,445.38362029975065,11.234094272032317,28.338264931018507,77.25958778139137,21.467671008364754,Low,0
29.294755283827378,5.573648291406584,24.155901080908617,15.237963688453682,1.0249695189645673,3.9382243123354437,3,25.630777571619497,11.418879893510631,11.11075411210318,682.9419877319926,14.744358557669521,221.73377479199274,41.07851872574146,15.938667296599025,Low,0
45.930196569702694,14.264370322941657,28.34869530330656,7.711108895257579,1.486676589649285,3.938700050745443,4,107.66008212032077,8.721346031027254,13.141946588421849,239.9124498865137,9.827510060175355,15.082514725502188,89.43778560721603,27.07499842318856,Medium,0
42.03937014428676,8.708317685760118,6.6264100850404155,39.075060021793874,2.1872534501055827,2.3272628274941742,5,29.628424092260943,29.932521279431832,11.363013911968178,163.1051979739566,6.1544702353955625,135.02853584726955,56.909684816038826,30.549499850621576,Medium,0
47.84227408028535,19.37450054109851,29.699567675717596,32.37508696259316,1.4687766175741375,2.4107158715812944,3,29.922011028022528,50.301499262614854,8.490231173074477,316.5202724303525,0.16714955226403588,91.39449649761514,78.36582197528494,27.415034923314895,Medium,0
29.987004341700768,21.624564113858234,3.8635384064168967,59.65194901232751,1.002892187404575,2.2449198246712863,3,58.58554481215642,50.637166337539405,31.99497560335563,337.1295153230161,0.7282277830975319,313.3712244411461,83.82465486317972,38.77057439952532,High,1
51.45689444532773,21.135163749187992,26.571719240416247,14.781866979375621,2.102609030635773,5.0522494869761365,3,21.116202918969996,12.799660599303737,20.840771469328182,198.17233546020532,1.8746933556391177,547.7584312996265,87.01588609427708,41.038312492946744,High,1
33.906746078185996,6.44324545233342,3.321089134318936,20.785219131324205,1.7281224378562448,2.0330723081821467,2,29.067596974750128,29.63495015088842,15.229608850243997,263.0592477597255,3.931626421531992,759.481328969772,62.12287381377741,24.49886597829694,Medium,0
20.8409910366003,18.083956508110322,12.2009715587375,34.42991845767557,0.6151207545453353,2.903383638790757,3,58.31577941668608,47.83885228171306,12.135843675499412,492.48689952174874,3.6673974386302954,454.2361776650578,69.59157967940669,20.39720027968324,Low,0
25.18256186303239,14.166577937241234,16.20087151314277,22.298116323437416,2.8285797539535125,3.8201897164178242,2,13.101827348041208,36.10832007098607,23.909122943995776,678.80315158505,4.505516779786622,83.01301068542332,75.65813468651362,19.673742319374636,Low,0
31.00057597324762,21.61933770220753,4.371390713731241,28.882543933482005,1.8347511220924977,4.346345999851389,3,24.978413282900412,22.517587949145376,21.268946947725652,688.4036351563034,1.374556946734916,301.78846592921616,74.20476690211606,27.82766460399353,Medium,0
40.88639580418996,19.417088711381943,29.766675150971412,40.94913578762989,2.7069637713863943,2.0261241299921466,4,19.62010866952437,58.983674353203334,34.16279414177464,129.05480386199295,6.38253989666712,11.267694571855417,79.84704185159288,44.515765699790485,High,1
48.010538519292226,5.4210311753459095,14.30978562547412,29.74804748742861,0.8565461072935969,2.431242427940083,2,72.32392062787794,36.85445371498831,26.405926280632485,440.07813318084123,12.800808251094429,40.11967396751368,86.10440359566496,21.029618182475584,Low,0
